50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
10,25
30,40
125,225
450000,450075
300000,300300
200000,200105
100000,100450
50000,50015
25000,25800
99000,99210
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
10,25
30,40
125,225
450000,450075
300000,300300
200000,200105
100000,100450
50000,50015
25000,25800
99000,99210
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
10,25
30,40
125,225
450000,450075
300000,300300
200000,200105
100000,100450
50000,50015
25000,25800
99000,99210
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
10,25
30,40
125,225
450000,450075
300000,300300
200000,200105
100000,100450
50000,50015
25000,25800
99000,99210
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
10,25
30,40
125,225
450000,450075
300000,300300
200000,200105
100000,100450
50000,50015
25000,25800
99000,99210
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
50,100
100,250
50,100
100,250
50,100
100,250
500,1000
2500,2750
5000,6000
10000,10250
10,25
30,40
125,225
450000,450075
300000,300300
200000,200105
100000,100450
50000,50015
25000,25800
99000,99210
4000,4250
400000,400333
333333,333666
111111,111222
222222,222444
99,120
460,510
1010,1900
6000,6700
8010,8655
100000,100321
60000,60125
500,1000
2500,2750
5000,6000
10000,10250
200000,200105
100000,100450
50000,50015
450000,450999
